DM2_COMPLETE_ALLOCATION: BPEOF = 200d0040 changed by vptr
u_lp #0010: 180c5ae0 || x32 = 80000024 (np) -> len = 00000 (0000) || i8* = 80000024  || Data = 
u_lp #0011: 180c5ae4 || x32 = 180b0062      -> len = 00000 (0000) || i8* = 180B0062  || Data = 
u_lp #0012: 180c5ae8 || x32 = 80000023 (np) -> len = 00000 (0000) || i8* = 80000023  || Data = 
u_lp #0013: 180c5aec || x32 = 180a9892      -> len = 00000 (0000) || i8* = 180A9892  || Data = 
u_lp #0014: 180c5af0 || x32 = 180a98e0      -> len = 00000 (0000) || i8* = 180A98E0  || Data = 
u_lp #0015: 180c5af4 || x32 = 180bd712      -> len = 00000 (0000) || i8* = 180BD712  || Data = 
u_lp #0016: 180c5af8 || x32 = 8000001c (np) -> len = 00000 (0000) || i8* = 8000001C  || Data = 
u_lp #0017: 180c5afc || x32 = 80000023 (np) -> len = 00000 (0000) || i8* = 80000023  || Data = 
u_lp #0018: 180c5b00 || x32 = 80000026 (np) -> len = 00000 (0000) || i8* = 80000026  || Data = 
u_lp #0019: 180c5b04 || x32 = 80000016 (np) -> len = 00000 (0000) || i8* = 80000016  || Data = 
u_lp #0020: 180c5b08 || x32 = 80000025 (np) -> len = 00000 (0000) || i8* = 80000025  || Data = 
u_lp #0021: 180c5b0c || x32 = 80000025 (np) -> len = 00000 (0000) || i8* = 80000025  || Data = 
